epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2971.55,0.5194,0.91806,0.48862,0.97774,0.94336,0.8935,0.93756,0.81125,0.93732,0.88759,0.93227,0.76659,0.56947,1.03032,0.46559,0.99893,0.00034542,0.00034542,0.00034542
64,3019.24,0.52867,0.93844,0.51199,0.98092,0.95043,0.88595,0.93605,0.8036,0.94237,0.87845,0.92894,0.76656,0.58584,1.10997,0.48025,1.00117,0.00033633,0.00033633,0.00033633
65,3067.38,0.50591,0.88849,0.48072,0.96872,0.92894,0.89561,0.94133,0.81555,0.9166,0.88453,0.93082,0.75921,0.55206,1.03704,0.46932,0.97676,0.00032724,0.00032724,0.00032724
66,3116.37,0.51986,0.92076,0.48967,0.97072,0.90466,0.92367,0.94316,0.82197,0.89552,0.9142,0.93588,0.77155,0.54938,1.03699,0.44858,0.97694,0.00031815,0.00031815,0.00031815
67,3164.3,0.49136,0.87064,0.46288,0.9661,0.93707,0.91322,0.94692,0.81758,0.92284,0.90083,0.93688,0.76746,0.5449,1.03675,0.43709,0.98616,0.00030906,0.00030906,0.00030906
68,3213.5,0.5125,0.92221,0.4861,0.97733,0.91119,0.93358,0.95141,0.8156,0.90085,0.9156,0.9412,0.7636,0.55517,1.05234,0.44553,0.98998,0.00029997,0.00029997,0.00029997
69,3261.16,0.5225,0.96563,0.49844,0.97447,0.91601,0.9313,0.94578,0.81317,0.91887,0.90809,0.93871,0.76588,0.5553,1.05882,0.45346,0.98402,0.00029088,0.00029088,0.00029088
70,3310.61,0.50934,0.89268,0.4828,0.97316,0.92574,0.93206,0.95222,0.8155,0.91355,0.91874,0.94121,0.7705,0.5537,1.00613,0.44543,0.97516,0.00028179,0.00028179,0.00028179
71,3361.13,0.47462,0.92122,0.45286,0.96488,0.94136,0.89468,0.94006,0.80181,0.93103,0.88537,0.93257,0.75951,0.56203,1.06655,0.45804,0.98745,0.0002727,0.0002727,0.0002727
72,3406.23,0.46059,0.86554,0.40589,0.95146,0.93537,0.89722,0.94526,0.80331,0.89201,0.92109,0.93832,0.76241,0.55863,1.11971,0.41808,0.98456,0.00026361,0.00026361,0.00026361
73,3451.18,0.46427,0.85128,0.40101,0.95469,0.94117,0.89839,0.94551,0.8082,0.91951,0.90099,0.94035,0.7712,0.56475,1.06947,0.43744,0.98641,0.00025452,0.00025452,0.00025452
74,3496.45,0.46166,0.85773,0.39359,0.9502,0.92228,0.92708,0.94579,0.81161,0.9304,0.89681,0.93582,0.77534,0.53791,1.11022,0.42206,0.95992,0.00024543,0.00024543,0.00024543
75,3540.98,0.44217,0.82716,0.37605,0.9389,0.93363,0.92067,0.95042,0.81299,0.92835,0.9078,0.93859,0.76289,0.54247,1.13039,0.42669,0.98345,0.00023634,0.00023634,0.00023634
76,3585.5,0.439,0.81457,0.37526,0.93461,0.92771,0.9141,0.9457,0.81056,0.90972,0.89748,0.93294,0.76443,0.54319,1.08173,0.43145,0.98838,0.00022725,0.00022725,0.00022725
77,3630.81,0.44614,0.82952,0.36947,0.9373,0.92639,0.92611,0.95143,0.82256,0.91155,0.91161,0.93872,0.77822,0.53078,1.06428,0.41088,0.97093,0.00021816,0.00021816,0.00021816
78,3675.92,0.43516,0.82779,0.35729,0.9358,0.91467,0.92541,0.94848,0.82491,0.90292,0.91347,0.9398,0.7692,0.52449,1.03881,0.42504,0.96229,0.00020907,0.00020907,0.00020907
79,3720.71,0.43173,0.82381,0.35139,0.93064,0.93887,0.9122,0.94751,0.81839,0.92821,0.91313,0.9439,0.77558,0.52223,1.02797,0.43677,0.95686,0.00019998,0.00019998,0.00019998
80,3765.68,0.42382,0.82168,0.34436,0.9221,0.94631,0.90433,0.94368,0.82461,0.94002,0.8985,0.93845,0.77232,0.5091,1.07107,0.4153,0.94667,0.00019089,0.00019089,0.00019089
